sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
519609.60000000003,254.24555916800006,275.1546892556634,519609.60000000003,254.24555916800006,270.03493679437247
522288,254.2134101333333,274.8998036493855,522288,254.2134101333333,269.7670445353337
524966.4,253.85101348693354,274.6263296549829,524966.4,253.85101348693354,269.4643432961387
527644.8,253.40919999999986,274.3459359001298,527644.8,253.40919999999986,269.15030128557675
530323.2000000001,252.9628000000001,274.0620438101235,530323.2000000001,252.9628000000001,268.8320929284079
533001.6,252.51730567679974,273.7758713448386,533001.6,252.51730567679974,268.5111903607762
535680,252.15959999999998,273.4914381904504,535680,252.15959999999998,268.1959181874917
538358.4,251.4905568333918,273.1936754195757,538358.4,251.4905568333918,267.8566532804233
541036.8,250.70531577242218,272.87405379724925,541036.8,250.70531577242218,267.48254667903586
543715.2000000001,250.34199195907786,272.60143584168526,543715.2000000001,250.34199195907786,267.173034966687
546393.6,250.9673623949249,272.56584257044506,546393.6,250.9673623949249,267.13407705767196
547200,251.45,272.645924392192,547200,251.45,267.2247891938647
547200,251.45,272.645924392192,547200,251.45,267.2247891938647
549072,253.23191366305417,272.7656457725812,549072,253.23191366305417,267.4066480568254
551750.4,255.4720575350532,273.36244955179524,551750.4,255.4720575350532,268.0866347167772
554428.8,257.0659411884142,274.02928130761114,554428.8,257.0659411884142,268.8007504813592
557107.2000000001,258.4164614819307,274.7282654933825,557107.2000000001,258.4164614819307,269.53758985496046
559785.6,258.79644213620844,275.36648709685505,559785.6,258.79644213620844,270.1779543850043
562464,258.98797911055897,275.91528102091826,562464,258.98797911055897,270.70216964910975
565142.4,259.83719665896115,276.4930461772296,565142.4,259.83719665896115,271.2948060514083
567820.8,260.352950656,277.0021546016099,567820.8,260.352950656,271.8086778340434
570499.2000000001,260.1373222357803,277.3738558262275,570499.2000000001,260.1373222357803,272.1560714242336
573177.6,259.73201286058253,277.5861015308835,573177.6,259.73201286058253,272.33344330822564
575856,259.27756407601805,277.60275294481704,575856,259.27756407601805,272.318885153696
578534.4,257.6496399523341,277.31553551682316,578534.4,257.6496399523341,271.9644721996926
581212.8,256.7525897550768,276.95670314810724,581212.8,256.7525897550768,271.54938574377854
583200,256.45,276.72238321242094,583200,256.45,271.30112078457233
583200,256.45,276.72238321242094,583200,256.45,271.30112078457233
583891.2000000001,256.18278076342887,276.79715280464694,583891.2000000001,256.18278076342887,271.3615659707257
586569.6,254.91159681828523,276.51130962083454,586569.6,254.91159681828523,271.0013019848106
589248,254.9156530285714,276.2317237814623,589248,254.9156530285714,270.7028690677239
591926.4,254.39568074494457,275.9487906912541,591926.4,254.39568074494457,270.3952601780196
594604.8,253.6105746361942,275.6324916276661,594604.8,253.6105746361942,270.0301613444809
597283.2000000001,253.1751246112737,275.3289341340065,597283.2000000001,253.1751246112737,269.69275624682393
599961.6,253.60323901289448,275.06908283226096,599961.6,253.60323901289448,269.43646472547914
602640,253.58586700767262,274.81430846150073,602640,253.58586700767262,269.1827760184376
604800,253.14999999999998,274.58014815235987,604800,253.14999999999998,268.92518944510005
604800,253.14999999999998,274.58014815235987,604800,253.14999999999998,268.92518944510005
605318.4,252.99730658727006,274.52154944461716,605318.4,252.99730658727006,268.8592407807942
607996.8,252.0787150703303,274.19829280377496,607996.8,252.0787150703303,268.483518188513
610675.2000000001,252.04999999999998,273.9153580637781,610675.2000000001,252.04999999999998,268.1867587769035
613353.6,252.04999999999998,273.644507276936,613353.6,252.04999999999998,267.90951450648714
616032,252.04999999999998,273.37784172997436,616032,252.04999999999998,267.63823423903153
618710.4,252.04999999999998,273.115325736566,618710.4,252.04999999999998,267.37270387014826
621388.8,251.6543116543998,272.8396054861503,621388.8,251.6543116543998,267.08076414194954
624067.2000000001,251.45,272.56006765746406,624067.2000000001,251.45,266.78467352735316
626745.6,251.45,272.30077180109936,626745.6,251.45,266.52429631468675
629424,251.45,272.0552996480463,629424,251.45,266.2792190549118
632102.4,251.57451352696444,271.9563943129551,632102.4,251.57451352696444,266.179775715701
633600,252.04999999999998,272.0677275575031,633600,252.04999999999998,266.3015462903551
633600,252.04999999999998,272.0677275575031,633600,252.04999999999998,266.3015462903551
634780.8,253.0712403266267,272.0734416383716,634780.8,253.0712403266267,266.34265305043107
637459.2000000001,256.1728121073365,272.63588604059095,637459.2000000001,256.1728121073365,267.04004883529143
640137.6,258.3199147746753,273.24245896419666,640137.6,258.3199147746753,267.74478107705227
642816,259.783216,273.891419378845,642816,259.783216,268.4629504864783
645494.4,260.56717671563615,274.4967593962285,645494.4,260.56717671563615,269.10734404125924
648172.8,261.00724211200026,275.03256368868824,648172.8,261.00724211200026,269.65946186865125
650851.2000000001,262.3305383679997,275.6156205047247,650851.2000000001,262.3305383679997,270.30027944775674
653529.6,262.8716000000002,276.14135160860627,653529.6,262.8716000000002,270.8592968771349
656208,263.318,276.5876842517215,656208,263.318,271.3308272046718
658886.4,263.76388574719977,276.94543961611146,658886.4,263.76388574719977,271.71739246261956
661564.8,263.81585384959993,277.1091915036202,661564.8,263.81585384959993,271.90312702869835
664243.2000000001,263.40262315520016,276.9983425487248,664243.2000000001,263.40262315520016,271.80151162585804
666921.6,263.15,276.7893620328525,666921.6,263.15,271.60734268365184
669600,263.15,276.59543947463783,669600,263.15,271.44436610761966
669600,263.15,276.59543947463783,669600,263.15,271.44436610761966
672278.4,263.15,276.6466346789118,672278.4,263.15,271.51490597140025
674956.8,263.3726949492365,276.514734011899,674956.8,263.3726949492365,271.41880055472024
677635.2000000001,263.8751725930388,276.41109352248753,677635.2000000001,263.8751725930388,271.3702621500003
680313.6,264.2396585408833,276.30822042273803,680313.6,264.2396585408833,271.31812843732985
682992,264.24857694117645,276.19471795760853,682992,264.24857694117645,271.2420027765063
685670.4,264.5411804596702,276.0885036675938,685670.4,264.5411804596702,271.178630293305
688348.8,264.7829234943999,276.00130765121133,688348.8,264.7829234943999,271.1444517195756
691027.2000000001,264.2540144896,275.8645002609386,691027.2000000001,264.2540144896,271.01769239711683
691200,264.25,275.8561668307659,691200,264.25,271.0106647177235
691200,264.25,275.8561668307659,691200,264.25,271.0106647177235
693705.6,264.25,275.7493410691898,693705.6,264.25,270.9333289038604
696384,264.25,275.6394824140145,696384,264.25,270.8566325356063
699062.4,264.30346539519974,275.53250622193065,699062.4,264.30346539519974,270.78372462426563
