sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1
1229385.6,260.59422159825465,276.7338083554362
1232064,261.38377737142855,276.588613696098
1234742.4000000001,263.12050022765635,276.5313506821822
1237420.8,264.357973034667,276.5457591511607
1238400,264.84999999999997,276.57939467950723
1238400,264.84999999999997,276.57939467950723
1240099.2,265.9045159679995,276.48317134760725
1242777.6,267.4313120000007,276.864121040502
1245456,268.68519999999995,277.508492419491
1248134.4000000001,269.8627577941326,278.2456649539394
1250812.8,271.11160000000035,278.98008517075414
1253491.2,272.3871230003196,279.66530711093
1256169.6,273.66138525184056,280.33968439951974
1258848,274.51471168,280.9333675012867
1261526.4000000001,275.31639999999953,281.270225161875
1264204.8,276.0989701546668,281.4927911573466
1266883.2,276.0233718186668,281.62459099870523
1269561.6,274.4895759862507,281.5120855443939
1272240,273.462384,281.34078088199556
1274400,273.15,281.2429378322074
1274400,273.15,281.2429378322074
1274918.4000000001,272.85723102017937,281.3520565951406
1277596.8,270.44433168691165,281.2076104745469
1280275.2,270.71520685596295,281.101487792118
1282953.6,271.0187313867537,281.0327945640951
1285632,270.81783404933583,280.94152522566804
1288310.4000000001,268.3639594818074,280.71846000019235
1290988.8,269.3489546611618,280.6103411210393
1293667.2,269.2733175799564,280.53533289728836
1296000,268.15,280.37102122787746
1296000,268.15,280.37102122787746
1296345.6,268.0840315615563,280.3496425935769
1299024,267.67949256108597,280.2007540926783
