sep=,
Result 1|time [s] Case 1,Result 1|heatEnergy.y Case 1
842400,769.142930530164
842400,769.142930530164
842428.0143983496,769.1431254858838
842428.0143983496,769.1431254858838
842431.6270366493,769.1431254858838
842431.6270366493,769.1431254858838
843696,769.1937743389609
846374.4,770.0914343118906
849052.8,771.7387506197583
851731.2000000001,773.8621816010713
854409.6,776.3811783324663
857088,778.7862410991625
859766.4,781.285376525908
862444.8,783.9758703958994
864000,785.608374036981
864000,785.608374036981
865123.2000000001,786.8059682668721
867801.6,789.5175103620022
870480,792.0430021136325
873158.4,794.4545480523061
875836.8,796.846445562491
878515.2000000001,799.2728317930913
881193.6,801.7883057476307
883872,804.3890621031427
886550.4,806.9934432281444
889228.8,809.6834782109304
891907.2000000001,812.4096382498294
892800,813.304700241199
892800,813.304700241199
894585.6,815.323095267579
897264,818.0709983925
899942.4,820.2692022263075
902620.8,821.9277812590753
905299.2000000001,822.8330820972141
907372.6309116432,823.003218467104
907372.6309116432,823.003218467104
907376.4945172933,823.003218467104
907376.4945172933,823.003218467104
907977.6,823.003218467104
910656,823.003218467104
913334.4,823.003218467104
916012.8,823.003218467104
918691.2000000001,823.003218467104
921369.6,823.003218467104
924048,823.003218467104
926726.4,823.003218467104
928800,823.1747619281462
928800,823.1747619281462
929404.8,823.2062693767618
932083.2000000001,823.6163357621635
934761.6,824.4282659297564
937440,825.5583158765227
940118.4,826.823890810365
942796.8,828.3536987921758
945475.2000000001,830.1336430176377
948153.6,832.041995305163
950400,833.7344268066604
950400,833.7344268066604
950832,834.0678777212012
953510.4,836.1425916828398
956188.8,838.1724293543168
958867.2000000001,840.0845082485248
961545.6,841.7559199236731
964224,843.281355018782
966902.4,844.8414499498135
969580.8,846.5541823438984
972259.2000000001,848.4658117022811
974937.6,850.4757011358193
977616,852.4481484570058
979200,853.5324590202977
979200,853.5324590202977
980294.4,854.378651360028
982972.8,855.9898384703071
985651.2000000001,857.5370072945744
988329.6,859.1210544840586
991008,860.6702483771813
993686.4,862.1635976104519
996364.8,863.6033624299431
999043.2000000001,864.9747433435848
1001721.6,866.2649960727623
1004400,867.7689985335087
1007078.4,869.505845343387
1009756.8,871.4558366505963
1012435.2000000001,873.6810734002304
1015113.6,876.1421494387556
1015200,876.2252003061791
