sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
2180217.6,266.0634917542956,280.1374579013333,2180217.6,266.0634917542956,276.3906603008628,2035584,275.7037408,293.1485190600219
2182896,265.60089317647055,279.9682746454412,2182896,265.60089317647055,276.20092529885267,2038262.4000000001,275.34999999999997,293.14949882349725
2185574.4,264.7699586243768,279.7636366205194,2185574.4,264.7699586243768,275.9484483575962,2040940.8,275.34999999999997,293.14917028141934
2188252.8000000003,264.30495141195286,279.5870325984942,2188252.8000000003,264.30495141195286,275.73801514140797,2043619.2,275.34999999999997,293.14898152076734
2188800,264.25,279.55442841997643,2188800,264.25,275.70006469740133,2046297.6,275.52356824576026,293.1496108618145
2188800,264.25,279.55442841997643,2188800,264.25,275.70006469740133,2048976,276.0160131446154,293.1494143213496
2190931.2,264.2817171273142,279.22620961338265,2190931.2,264.2817171273142,275.37298634767393,2051654.4000000001,275.9850265564555,293.148900614871
2193609.6,264.1000777983998,279.09269230177523,2193609.6,264.1000777983998,275.22598151187657,2052000,275.95,293.148865928467
2196288,263.702,278.987661935094,2196288,263.702,275.0914189524386,2052000,275.95,293.148865928467
2198966.4,263.25560000000024,278.9002727528106,2198966.4,263.25560000000024,274.96878563919205,2054332.8,273.32780439174934,293.1434531874753
2201644.8000000003,262.76738792959986,278.7990705665206,2201644.8000000003,262.76738792959986,274.8294311019441,2057011.2000000002,273.0088946909864,293.1516296333397
2204323.2,262.5056950016,278.6995210889933,2204323.2,262.5056950016,274.69803396164644,2059689.6,273.91913782299,293.15142854981804
2207001.6,262.54999999999995,278.691292395414,2207001.6,262.54999999999995,274.6731104515849,2062368,274.8204653473684,293.150433105701
